Username,Checked,Activity Level
griverorz,0,0
ablsk,0,0
bsmog,0,0
hirenc,0,0
EPLingenfelter,0,0
The_Real_MST,0,0
hrldcb,0,0
aslusser,0,0
brizzolara,0,0
mosesedwards197,0,0
andydunc34,0,0
nguer24,0,0
stgoode,0,0
davidamichaels,0,0
cfallon11,0,0
Cavailles1,0,0
saralatta,0,0
AndrewJauntes,0,0
kcj27,0,0
pgolshani,0,0
barbarageffen,0,0
josephaolivier,0,0
amymengel,0,0
Pulso_pnamur,0,0
bigthingist,0,0
AlpinerDianne,0,0
hofeman,0,0
SeanGardyne,0,0
CalvinGlover09,0,0
cmastication,0,0
MattSharpeTri,0,0
spencercmc,0,0
mark_nau,0,0
John_Miranda,0,0
ronit_b,0,0
bethbrav,0,0
carlafd25,0,0
Lynn_Coady,0,0
saralovering,0,0
willystaley,0,0
pmlagasse,0,0
Seridian,0,0
TheRealCaverlee,0,0
youknowemily,0,0
Ceramicbull,0,0
RyanMcLendon,0,0
MaxNisen,0,0
SammieDraper,0,0
jacobpark75,0,0
sf_spades,0,0
DrCin,0,0
Licatacs,0,0
JosephDWood,0,0
mrhunsaker,0,0
LincolnFischer,0,0
DaranEdmonds,0,0
pvd_datageek,0,0
aqscott,0,0
cklempay,0,0
jasdye,0,0
Lincolon,0,0
PoliShifter,0,0
BrickSantorum,0,0
BennettWolfe,0,0
Jabbey212,0,0
hedged,0,0
Ryan_Parker_,0,0
lissahmichalski,0,0
BrianDRPM,0,0
KatyStech,0,0
higginsvb,0,0
TXCupCake,0,0
GoingVagabond,0,0
GolemsDancing,0,0
JacobAlek17,0,0
CoryMollet,0,0
awakayahp,0,0
KyleAPennell,0,0
HCD_Cornell,0,0
MatrixDG,0,0
ryanaflagg,0,0
wisnefski,0,0
revitalizing_XY,0,0
SenGOP_Floor,0,0
seggK,0,0
FairburnFitness,0,0
lodasi,0,0
bweatherson,0,0
jimhammerand,0,0
stoutandproud,0,0
NancyRPfeiffer,0,0
ShannonLLove,0,0
adevries18,0,0
Thus_is_Russ,0,0
marksholdice,0,0
rickpm57,0,0
keris42,0,0
KurtTellefsen,0,0
therman,0,0
shaya_marie,0,0
Leo_Redmond_,0,0
unitedrep,0,0
NYPDBrownZagat,0,0
abelaie,0,0
MaureenMcLeod2,0,0
InfraUSA,0,0
TojuO,0,0
designk2,0,0
PatrickKoz,0,0
oppnation,0,0
stevegillilan,0,0
WhteMountainInc,0,0
brycecovert,0,0
Ariane_Poulain,0,0
MatthijsdeZwaan,0,0
MaryMery31,0,0
KONAN886,0,0
orlaithf,0,0
JVykol,0,0
DrNo2012AL,0,0
TheBlahDalia,0,0
jameshaning,0,0
gordie_smith,0,0
BWRuebel,0,0
NYOriginal,0,0
MuseumPlanet,0,0
plain47,0,0
WatchdogDiva,0,0
joshua_eaton,0,0
healthcurated,0,0
NatalieRaabe,0,0
AlmedaRany,0,0
shaby2012,0,0
mjaconiCNN,0,0
klaus1234,0,0
jhappolati,0,0
emaleigh,0,0
LTGoto,0,0
TR_Wilson,0,0
RussellBlank,0,0
zchace,0,0
Jorge_Camarillo,0,0
sLcarothers,0,0
alexcsewell,0,0
USelectionz,0,0
economicsNZ,0,0
the_V,0,0
bcavagnolo,0,0
drewbrookie,0,0
JSFloresPDX,0,0
DrMDunk,0,0
lisamcguire1,0,0
meghanreidy,0,0
trollbusier,0,0
peter_lachman,0,0
eopenchowski,0,0
fyleceqyfeg,0,0
nybasagopug,0,0
tanupylibupox,0,0
dowymimehegel,0,0
nodozuzutep,0,0
nyxoqijifynu,0,0
redymaxamenu,0,0
giqojoxifety,0,0
TheRelLeft,0,0
skipsauer,0,0
Goodnesschidimm,0,0
jewishmenhealth,0,0
david_wescott,0,0
TheLeeSprouls,0,0
FunnNetworks,0,0
SeatGeek,0,0
michaelandresen,0,0
leepacchia,0,0
PterIforsythe,0,0
James_Larkin,0,0
Stepreo,0,0
mike_herman,0,0
christinacaci,0,0
OrangeMilkis,0,0
pheski,0,0
moneygreenhouse,0,0
misterorff,0,0
SofiaSheli,0,0
texmed,0,0
dell_ahmed,0,0
emilyckrueger,0,0
MacroRecon,0,0
edbott,0,0
JessBurnstone,0,0
whsamueliii,0,0
ODerigRulez,0,0
lfstevens,0,0
theanalyst_hk,0,0
Jan_Lee1993,0,0
Doubter62,0,0
BellevueDentalF,0,0
KOlson5581,0,0
mfronte04,0,0
frites,0,0
kevinkelly262,0,0
tetuben,0,0
caitschneider,0,0
rebmoser,0,0
glenloader,0,0
ErensiFuentes,0,0
KatherineOzment,0,0
pegramT,0,0
InsideHoops,0,0
BOBHANDTV,0,0
manchez13,0,0
son_of_slam,0,0
T43V9R,0,0
laughterhaus,0,0
AlejandDrew,0,0
JRSmithsHair,0,0
ericfgould,0,0
OnlyTrueThings,0,0
TrafficBastard,0,0
Hooplaoly,0,0
spencerwoodman,0,0
KingWenceslas,0,0
BarrazaEd,0,0
billiams,0,0
Greg_HC311,0,0
edconklin,0,0
Twittemus,0,0
jutopia,0,0
BeforeNever,0,0
Kali4niaDazed,0,0
maxcaven,0,0
mattjaniszewski,0,0
DemocratMachine,0,0
emilioguerra,0,0
HangerJMU3,0,0
erikweber,0,0
ccw_cda,0,0
vasse,0,0
d_k_wallace,0,0
Rahnerian,0,0
livingminimal,0,0
PortlandGuy1974,0,0
Tostobueno,0,0
DanHagar,0,0
opinionstage,0,0
BillCody,0,0
Property_Inves1,0,0
randiradio,0,0
RWKIMBLE,0,0
drewmyklegard,0,0
KenyattaYamel,0,0
DFCabrera78,0,0
vdare,0,0
RGC3,0,0
Mindstreamco,0,0
Jcams,0,0
EricMaitreyaSky,0,0
rachelswan,0,0
This_isAmy101,0,0
joelarchitect,0,0
EnriqueConde1,0,0
PaulSladeSmith,0,0
morrowchris,0,0
lquin1,0,0
MattRoznowski,0,0
hannahkelley,0,0
JimLivesey1,0,0
Mel94929,0,0
robbb1975,0,0
dkilner,0,0
MotebAloufi,0,0
LolazDad,0,0
T090324,0,0
Athenesowl,0,0
olaferr,0,0
WatchTheNumbers,0,0
FreeSolvent,0,0
jollyswagman1,0,0
david_m_stout,0,0
MrJoshDrake,0,0
shawnzrowland,0,0
SgtLuck1868,0,0
dweilage,0,0
PJHubbell,0,0
ReverendDrDash,0,0
adamjhoward,0,0
Benzinery,0,0
jbella2024,0,0
jfbga,0,0
xelgaex,0,0
synapsr,0,0
BeharryA,0,0
wynngiles,0,0
ShamusBrennan,0,0
sebraunlin,0,0
LoraxLawyette,0,0
deanna_rolffs,0,0
gregfenton,0,0
rahguv_murali,0,0
skmrahaman,0,0
dettmermichael,0,0
saracress,0,0
athompson,0,0
mach9991,0,0
RickRjm0377,0,0
PeterWinick,0,0
Omakian,0,0
Braz83,0,0
TTitom,0,0
simeonhellerman,0,0
MEDIAWATCHD0G,0,0
danielsoar,0,0
Spencerjakab,0,0
Lo_in_the_world,0,0
JimStancil,0,0
farbeitfrom,0,0
David57643384,0,0
speedmaster,0,0
jjtolliver,0,0
NewRichFriend,0,0
devildog7,0,0
dariasolo,0,0
oheatherlam,0,0
Yak_Cay_Zim,0,0
n8marks,0,0
Elbarriotours,0,0
MattGoldstein26,0,0
_antchatz,0,0
azmmg,0,0
Change_Corey1,0,0
jkwichmann,0,0
chassity34,0,0
DKarapetyan,0,0
TrjBn,0,0
JPCAlmeida,0,0
BrooklynDame_UK,0,0
1whoknu,0,0
punkinlucytuck,0,0
walkerthompson,0,0
crgrpr,0,0
Acelloria,0,0
ExhibitIndia,0,0
danifisher,0,0
Rhys_Needham,0,0
texasjobslist,0,0
senyuhnb,0,0
ElLaytoBay,0,0
RafingoML,0,0
gracemb,0,0
emwight,0,0
sandrastephens,0,0
smarielake,0,0
nahamah11,0,0
Wu_Kung,0,0
aminomedigas,0,0
ladykells,0,0
KinergyNeil,0,0
EwekaLane,0,0
gator_jones,0,0
Afrosteezin,0,0
Hobbes39,0,0
mlewyn,0,0
dailydirtnap,0,0
LauraCMeyer,0,0
RealOggie,0,0
Art_Roots,0,0
ChadWakefield,0,0
DrCanapari,0,0
qweephten,0,0
Vermando,0,0
cakeshoptheft,0,0
DLimerNies,0,0
WinstonSJr,0,0
Dirk57,0,0
san2332,0,0
barbarikon,0,0
jcutbirth,0,0
ProbeKathyByron,0,0
SurgeryCenterOK,0,0
galipkemal,0,0
creepcops,0,0
jimmywalker,0,0
LenCosta3rd,0,0
akpiper,0,0
jmschow,0,0
milesdavidwood,0,0
BackbencherPaul,0,0
michael_wiebe,0,0
portraitinflesh,0,0
OhadBY,0,0
heymicah,0,0
MarcOlinLevy,0,0
imfineitsrien,0,0
zzubrowski,0,0
BajaNews,0,0
_mikehayes,0,0
annemorriss,0,0
SAMovement,0,0
CHSommers,0,0
emiko_ker,0,0
torylynn,0,0
gerryheb55,0,0
AshrafEhsaas,0,0
IQMSUpdate,0,0
thedurham,0,0
_Anodos_,0,0
AFRICANACTS,0,0
cafe_olivier,0,0
clarksteele,0,0
steveelder58,0,0
presse2k,0,0
dave_sorensen,0,0
ragebot,0,0
jackonomist,0,0
scbalazs,0,0
CostaSamaras,0,0
JohnLaFerla,0,0
realkimtran,0,0
Exhausted99er,0,0
robertjabbott,0,0
jch5810,0,0
chickchopsuey,0,0
_dannybob_,0,0
twinprogress,0,0
EricNewville,0,0
JUANndonlyPABLO,0,0
MM2_K,0,0
aussietorres,0,0
Ray_Wray,0,0
ThomasTrender,0,0
SunnyZaman,0,0
adriannawright,0,0
jonvuocolo,0,0
RoryKoller,0,0
jumpthesnark,0,0
JustForTVTalk,0,0
gtendicott,0,0
tylerhawks,0,0
AndreaKiepe,0,0
MargotLurie,0,0
MichaelPierce27,0,0
miiamarilla,0,0
s_klinghardt,0,0
WalkerBragman,0,0
dschumai,0,0
RichardsonLiz,0,0
pakatter,0,0
whiplash30,0,0
darknice5,0,0
selecteconomics,0,0
marcmaron,0,0
bdwasko,0,0
mountainmango,0,0
michaelrhoades,0,0
hasnaouipress,0,0
JennFrighetto,0,0
AlexNowrasteh,0,0
vicepresidents,0,0
SarahEVenables,0,0
klopaze,0,0
mobilefuture,0,0
jackiemoboston,0,0
MrWhite03,0,0
dgardinera,0,0
stynyr,0,0
bekgetman,0,0
lolaelizabeth,0,0
davesgonechina,0,0
LydiaVincenty,0,0
LuanneinEugene,0,0
MarcusMrowka,0,0
heartlesshackle,0,0
tpinfluence1,0,0
c0kbilmis,0,0
AnthonyMBrown,0,0
Budgetautorepai,0,0
stevewnyc,0,0
dcappello,0,0
MsBeasEnt,0,0
Betphany,0,0
mckinneytweets,0,0
Linfectious,0,0
StefanFilipovi1,0,0
DonaldPretari1,0,0
CaraLTaylor,0,0
lee_ivan,0,0
JeremiahGoulka,0,0
mangoparent,0,0
Erin_Donohue,0,0
JACochran29,0,0
scottlgreer,0,0
TaraGleason2,0,0
davetarrantnews,0,0
DyamiHayes,0,0
denisticak,0,0
tillei,0,0
manicchill,0,0
jimflamez,0,0
tedsvo,0,0
mintwontrefresh,0,0
superleni,0,0
caikli,0,0
daniel_clemens,0,0
alexisgoldstein,0,0
dcestates,0,0
helenck1,0,0
eccelogos,0,0
rustymusty,0,0
wdifilippo,0,0
Joseph__Carter,0,0
abbazabbaa,0,0
Vrtlmrk,0,0
rzepfel,0,0
jaredtodd718,0,0
thelumbojack,0,0
cmegg,0,0
toniault,0,0
dsweeney0126,0,0
johnvoelcker,0,0
WendigoDesigns,0,0
JesseSipe,0,0
Suaveman,0,0
DrewKatchen,0,0
trn8,0,0
roamingkurd,0,0
bdurbin,0,0
cultofpolitics,0,0
pkxh,0,0
CommissarJoe,0,0
SteveNiles,0,0
OdinationYvonne,0,0
WKLA,0,0
img_ash,0,0
JoshBaxt,0,0
EverettMartin,0,0
robomarkh,0,0
awrigh01,0,0
LMvanderWatt,0,0
jlabaqui,0,0
jcransh,0,0
Zach_Black,0,0
tklyber,0,0
inthefray,0,0
rjwile,0,0
skpp1,0,0
tpaine007,0,0
42davegould,0,0
1baldboy,0,0
Ethan_the_Red,0,0
NotJackKemp,0,0
fourquadrate,0,0
Twixlen,0,0
matthewbaldwin,0,0
pdribin,0,0
MaMoMVPY,0,0
kellydilworth,0,0
cryan37,0,0
clairesgould,0,0
michaelmanhas,0,0
nprbusiness,0,0
evymac,0,0
0paralias,0,0
comedy13,0,0
OjCalvin,0,0
kate_davies,0,0
APAFlorida,0,0
dfwlibrarian,0,0
huyelobo,0,0
veryKozi,0,0
CitizensAgenda,0,0
michelebkim,0,0
brianbillion,0,0
agjag06,0,0
pdopetakeover,0,0
JimEngle,0,0
ericrettberg,0,0
AB_Karin,0,0
TheReal_DanPuma,0,0
clay_stambaugh,0,0
Ericonrad,0,0
IronBoar,0,0
cmdnrcks,0,0
johnd1985,0,0
blondnerd,0,0
Pooblius,0,0
EMCP_,0,0
pattilambert,0,0
UrbBlurb,0,0
sarahjgrimm,0,0
shiron1965,0,0
LordJamesLondon,0,0
uclairle,0,0
eauquillas,0,0
ErrbodyLuvsKluv,0,0
lazearokrent,0,0
davidabasta,0,0
kenpickles,0,0
anlew82,0,0
TimAeppel,0,0
EvilTwinAlex,0,0
Jbrinkleytaylor,0,0
AlexanderNicoll,0,0
CaseyGregg,0,0
CarolynLange,0,0
PascoEDC,0,0
johnauthers,0,0
NganduKasuku,0,0
buckabuddha,0,0
DougKimura,0,0
amy455,0,0
cheslra,0,0
torrHL,0,0
jc_erickson,0,0
jafm1983,0,0
kingcritical,0,0
JaySlacks,0,0
caseyconeway,0,0
YankeeGKM,0,0
OhMeadhbh,0,0
ninaholmberg,0,0
beth4158,0,0
bW75,0,0
melindabyerley,0,0
ChristopherB609,0,0
mickeylindsay,0,0
jnhoward,0,0
CAMTHEDESTROYER,0,0
feministlove,0,0
jacobdhorowitz,0,0
alcmobile,0,0
IEFrontPorchJV,0,0
gregeaston,0,0
Martin_A_M,0,0
wicce_podge,0,0
metricjulie,0,0
MrLateNight305,0,0
JudeLaBarre,0,0
nickschmidle,0,0
guidomurguia,0,0
KellyAMorrow,0,0
BrettKhedkar,0,0
BobWSpoon,0,0
Matthew_Maly,0,0
Unwaveringdream,0,0
MichaelJFrosch,0,0
OliverHotham,0,0
DaveKnowsPDX,0,0
MntRushMore,0,0
GVCID,0,0
Pittsburgh4TE,0,0
anne_tindall,0,0
elysechaye,0,0
JBSDC,0,0
ktcampblin,0,0
scottchilton,0,0
GJHorstman,0,0
Space_Mexicans,0,0
taylorpeck,0,0
malasankar,0,0
madam_nicci,0,0
EliseRandall,0,0
chachiTHEgr8,0,0
SisslyDonajorgo,0,0
Jason_Haas,0,0
ukitena2,0,0
WmBrangham,0,0
florencebeb,0,0
kandehsan,0,0
irepublic,0,0
jAp1016,0,0
mfogel,0,0
S_merke,0,0
shamimashraf,0,0
BuyOnTheDip,0,0
KamaikazeRugger,0,0
waligore,0,0
solemneyed,0,0
AndersonHsieh,0,0
izzylouwho,0,0
dgbsn,0,0
chibgringa,0,0
HunterORiley,0,0
SaltLife801,0,0
davidjmcgee,0,0
IraForman,0,0
KatrinaLadd,0,0
SamLevor,0,0
pap3ez,0,0
AreciboTV,0,0
YellaHausBoots,0,0
Frederikbalfour,0,0
jjaredsimpson,0,0
NCStateSPEL,0,0
Inter_Egotist,0,0
The_Melt,0,0
AartiMehta,0,0
stchang1024,0,0
TEDxWallStreet,0,0
